Character,Alternate Names,Role,Faction,Friends,enimies
Ugrasravas the Suta,,Teller of Ancient Tales,Human,"Lomaharsana the Suta,Brahmin seers",
Brahmin seers,,,Human,,
Lomaharsana the Suta,,A Suta,Human,,
Saunaka,,Chief of Brahmin seers,Human,Brahmin seers,
Janamejaya,,Royal Seer,Human,"Ugrasravas the Suta,Janamejaya's brothers,Somasravas,Sarama,Uttanka",
Janamejaya's brothers,,,Human,,
Sarama,,Divine bitch,God,,
Somasravas,,Household Priest,Human,,
Uttanka,,,Human,"King Pausya,Taksaka",
King Pausya,,,Human,King Pausya's Wife,
King Pausya's Wife,,,Human,,
Taksaka,,King of the Serpents,Animal,,King Pariksit
Puloman,,,Demon,"Puloma,Agni",
Puloma,,Wife of Bhgru,Human,"Bhgru,Cyavana",
Bhgru,,,Human,"Agni,Cyavana",
Cyavana,,Baby of Puloma,Human,Pramati,
Agni,,Yh actual fire,God,"Arjuna,Krsna,Indra",
Pramati,,Son of Cyovana,Human,"Cyavana,Ruru",
Ruru,,Son of Pramati,Human,"Pramadvara,Lizard Ruru",
Pramadvara,,Fiance of Ruru,Apsaras,,
Lizard Ruru,,Cursed man,Human,,
Kasyapa,,,Human,"Kadru,Vinata,Kadru's snake children",
Kadru,,Kasyapa's wife,Human,"Vinata,Kadru's snake children",
Vinata,,Kadru's sister,Human,Aruna,
Kadru's snake children,,,Animal,Vasuki,
Aruna,,Vinatas son,God,,
Gods,,,God,,
Demons,,,Demon,,
Visnu,Narayana,,God,"Gods,Vasuki,Demons",Rahu
Vasuki,,Serpent King,God,"Gods,Demons",
Rahu,,Demon,Demon,,
Garuda,,Vinatas other son,God,"Vinata,Kadru's snake children,Kasyapa,Visnu",Gods
Indra,,God of Rain,God,"Kadru,Brhaspati,Gods,Garuda,Visnu",
Brhaspati,,A Sage,Human,Kaca,
Sesa,,Snake,Animal,"Kadru's snake children,Kadru,Brahma",
Brahma,,God of Creation,God,Vasuki,
Elapatra,,Snake,Animal,"Vasuki,Kadru's snake children,Taksaka",
Astika,,,Human,"Jaratkaru(male),Jaratkaru(female),Janamejaya",
Jaratkaru(male),,Father of Astika,Human,Jaratkaru(female),
Jaratkaru(female),,Mother of Astika,Human,Vasuki,
King Pariksit,,,Human,Samika (A Sage),
Samika (A Sage),,A Sage,Human,"Srngin,Kasyapa",
Srngin,,Son of Samika,Human,,
Vapustama,,Janamejaya's wife,Human,Janamejaya,
Jaratkaru's Ancestors,,,Human,Jaratkaru(male),
Vyasa,Krsna,Compiler of the Vedas,God,"Janamejaya,Vaisampayana,Kunti,Yudhistra,Bhima,Arjuna,Nakula,Sahadeva",
Vaisampayana,,Student of Vyasa,Human,Janamejaya,
Satyavati,,Mother of Vyasa,Human,"Vyasa,Vasu Uparicara,Parasara,Citrangada,Vicitravirya",
Vasu Uparicara,,Lord of Cedi,Human,"Indra,Brhadratha,Pratyagraha,Kusamba,Macchila,Ksatriya Yadu",
Brhadratha,,Son of Vasu,Human,"Pratyagraha,Kusamba,Macchila,Ksatriya Yadu",
Pratyagraha,,Son of Vasu,Human,"Kusamba,Macchila,Ksatriya Yadu",
Kusamba,Manivahana,Son of Vasu,Human,"Macchila,Ksatriya Yadu",
Macchila,,Son of Vasu,Human,Ksatriya Yadu,
Ksatriya Yadu,,Son of Vasu,Human,,
Girika,,Vasu's Wife,Human,"Vasu Uparicara,Brhadratha,Pratyagraha,Kusamba,Macchila,Ksatriya Yadu",
Adrika,,Fish Lady,Apsaras,"Matsya,Satyavati,Vasu Uparicara",
Matsya,,Son of Adrika,Human,"Satyavati,Vasu Uparicara",
Parasara,,Father of Vyasa,Human,"Vyasa,Vasistha",
Jamadagni,,Father of Rama,Human,Rama,
Rama,,,Human,Drona,
Lady Earth,,Planet Earth,God,Brahma,
Drona,,Warrior,God,"Bharadvaja,Vidura",
Bharadvaja,,Father of Drona,Human,,
Ganga,,Godess of the Ganges,God,"Bhisma,Samtanu",
Bhisma,Devavrata,,Human,"Samtanu,Vasistha,Gods,Sukra,Brhaspati,Satyavati,Citrangada,Vicitravirya,Vyasa,Pandu,Dhrtarastra,Vidura,Drona",
Samtanu,,Father of Bhisma,Human,"Sarvadamana,Pratipa,Satyavati,Citrangada,Vicitravirya",
Dhrtarastra,,Son of Vyasa,Human,"Vyasa,Ambika",
Vidura,,Son of Vyasa,Human,"Arti,Vyasa,Pandu,Dhrtarastra",
Arti,,A Seer,Human,,
Duhsanta,,A King,Human,"Sakuntala,Sarvadamana",
Sakuntala,,,Human,"Kanva,Sarvadamana",
Kanva,,Adopted Sakuntla,Human,Sarvadamana,
Visvamitra,,Father of Sakuntla,Human,"Menaka,Vasistha",
Menaka,,Mother of Sakuntla,Apsaras,Indra,
Sarvadamana,Sarvadamana,Son of Sakuntla,Human,,
Daksayani,,Mother of Vivasvat,God,"Kasyapa,Vivasvat",
Vivasvat,,Father of Yama,Human,Yama,
Yama,,Father of Martanda,God,Martanda,
Martanda,,Father of Manu,Human,Manu,
Manu,,Father of Ila,Human,Ila,
Ila,,Father of Pururavas,Human,Pururavas,
Pururavas,,Father of Ayus,Human,"Urvasi,Ayus",
Urvasi,,Mother of Ayus,Apsaras,Ayus,
Ayus,,Father of Nahusa,Human,Nahusa,
Nahusa,,Father of Yayati,Human,Yayati,
Yayati,,,Human,"Devayani,Sarmistha,Yadu,Turvasu,Puru,Druhyu,Anu,Indra",
Devayani,,Sukra's daughter,Human,,
Sarmistha,,Wife of Yayati,Human,"Puru,Druhyu,Anu",
Adrika(Wife of Yayati),,Wife of Yayati,Human,"Yadu,Turvasu",
Yadu,,Son of Yayati,Human,"Turvasu,Puru,Druhyu,Anu",
Turvasu,,Son of Yayati,Human,"Puru,Druhyu,Anu",
Puru,,Son of Yayati,Human,"Druhyu,Anu",
Druhyu,,Son of Yayati,Human,Anu,
Anu,,Son of Yayati,Human,,
Sukra,,Demon priest,Demon,"Devayani,Kaca,Yayati",
Kaca,,Brhaspati's Son,God,Devayani,Demons
Vrsaparvan,,King of Demons,Demon,"Sarmistha,Sukra",
Sarmistha(Woman),,Daughter of Vrsaparvan,Demon,Devayani,
Astaka,,A Seer,Human,Yayati,
Samvarana,,Kuru King,Human,Sarvadamana,
Vasistha,,A Seer,Human,Samvarana,
Kuru,,Samvarana's Son,Human,"Samvarana,Pratipa",
Pratipa,,Karu's Son,Human,Samtanu,
Citrangada,,Son of Samtanu,Human,Vicitravirya,
Vicitravirya,,Son of Samtanu,Human,,
Vasu Uparicara (King),,King of Saubha,Human,"Bhisma,Ambha",
Ambha,,Wife of Saubha,Human,Bhisma,
Ambika,,Wife of Vicitravirya,Human,"Bhisma,Vicitravirya,Ambalika,Vyasa,Satyavati",
Ambalika,,Wife of Vicitravirya,Human,"Bhisma,Vicitravirya,Vyasa,Satyavati",
Pandu,,Son of Vyasa,Human,"Ambalika,Dhrtarastra,Indra",
Gandhari,,Wife of Dhrtarastra,Human,"Dhrtarastra,Sakuni,Vyasa",
Sakuni,,Brother of Gandhari,Human,"Dhrtarastra,Bhisma",
Kunti,Prtha,Wife of Pandu,Human,"Surya,Karna,Pandu,Gandhari,Indra,Dhrtarastra,Vidura",
Surya,,Sun God,God,Karna,
Karna,,Son of Surya,Human,"Indra,Drona,Krpa,Bhisma",
Adhiratha,,Foster father of Karna,Human,"Karna,Radha",
Radha,,Wife of Adhiratha,Human,Karna,
Madri,,Wife of Pandu,Human,"Pandu,Bhisma,Kunti,Gandhari,Dhrtarastra",
Duryodhana,,Dhrtarastra son,Human,"Dhrtarastra,Gandhari,Karna,Drona,Krpa,Bhisma,Vidura",
Yuyutsu,,Dhrtarastra's illegitimate son,Human,"Dhrtarastra,Duryodhana,Drona,Karna,Krpa,Bhisma,Vidura",
Duhsala,,Dhrtarastra daughter,Human,"Dhrtarastra,Gandhari,Duryodhana,Jayadratha,Yuyutsu,Karna,Bhisma,Vidura",
Jayadratha,,Husban of Duhsala,Human,,
Dharma,,God of Dharma,God,Kunti,
Yudhistra,,Son of Kunti,Human,"Kunti,Pandu,Sahadeva,Nakula,Madri,Duryodhana,Yuyutsu,Dhrtarastra,Duhsala,Drona,Karna,Krpa,Bhisma,Vidura,Purocana,Vyasa",
Vayu,,God of Wind,God,Kunti,
Bhima,,Son of Kunti,Human,"Kunti,Pandu,Yudhistra,Sahadeva,Nakula,Madri,Duryodhana,Yuyutsu,Dhrtarastra,Duhsala,Drona,Karna,Krpa,Bhisma,Vidura,Purocana,Vyasa",
Arjuna,,Son of Kunti,Human,"Kunti,Pandu,Yudhistra,Bhima,Sahadeva,Nakula,Madri,Duryodhana,Yuyutsu,Dhrtarastra,Duhsala,Drona,Karna,Krpa,Bhisma,Purocana,Vyasa,Indra",
The Asvins,,Divine Gods,God,Madri,
Nakula,,Son of Madri,Human,"Madri,Sahadeva,Pandu,Kunti,Duryodhana,Yuyutsu,Dhrtarastra,Duhsala,Drona,Karna,Krpa,Bhisma,Vidura,Purocana,Vyasa",
Sahadeva,,Son of Madri,Human,"Madri,Pandu,Kunti,Duryodhana,Yuyutsu,Dhrtarastra,Duhsala,Drona,Karna,Krpa,Bhisma,Vidura,Purocana,Vyasa",
Saradvat,,,Human,Jalapadi,
Jalapadi,,An Apsares,Apsaras,,
Krpa,,Son of saradvat,Human,"Samtanu,Krpi,Saradvat,Drona,Bhisma,Vidura",
Krpi,,Daughter of saradvat,Human,"Samtanu,Saradvat,Drona",
Ghrtaci,,Mother of Drona,Apsaras,"Bharadvaja,Drona",
Prsata,,A King,Human,Drupada,
Drupada,,Son of Prsata,Human,"Drona,Kunti,Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Vyasa,Vidura",
Asvatthaman,,Son of Drona,Human,"Drona,Krpi",
Ekalavya,,Drona's Student,Human,"Drona,Arjuna",
Purocana,,Duryodhana's Aide,Human,Duryodhana,
Hidimba,,A Demon,Demon,"Kunti,Yudhistra,Arjuna,Nakula,Sahadeva,Hidimbi",Bhima
Hidimbi,,Hidimbas Sister,Demon,"Kunti,Yudhistra,Bhima,Arjuna,Nakula,Sahadeva",
Ghatotkaca,,Son of Bhima and Hidimbi,Demon,"Bhima,Hidimbi,Kunti,Yudhistra,Arjuna,Nakula,Sahadeva",
Brahmin of Ekacakra,,A Brahmin,Human,"Kunti,Yudhistra,Bhima,Arjuna,Nakula,Sahadeva",
Baka,,A Demon,Demon,Brahmin of Ekacakra,Bhima
Yaja,,A Seer,Human,Drupada,
Upayaja,,A Seer,Human,"Drupada,Yaja",
Dhrstadyumna,,Drupada's Son,Human,"Drupada,Draupadi,Kunti,Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Vyasa",
Draupadi,,Drupada's Daughter,Human,"Drupada,Kunti,Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Vyasa",
Angaraparna,,A King,Human,"Kunti,Yudhistra,Bhima,Arjuna,Nakula,Sahadeva",
Tapati,,Samvarana's Wife,Human,"Samvarana,Kuru,Vasistha",
Sakti,,Vasistha's Son,Human,Vasistha,
Kalmasapada,,A King,Human,"Visvamitra,Adrsyanti,Vasistha",Sakti
Adrsyanti,,Sakti's Wife,Human,"Sakti,Vasistha,Parasara",
Asmaka,,Son of Vasistha,Human,"Vasistha,Kalmasapada",
Dhaumya,,Pandavas Priest,Human,"Kunti,Yudhistra,Bhima,Arjuna,Nakula,Sahadeva",
Salya,,A King,Human,"Madri,Nakula",Bhima
Vikarna,,Duryodhana's Brother,Human,"Dhrtarastra,Gandhari,Duryodhana,Drona,Citrasena,Krpa,Yudhistra,Bhima,Arjuna,Draupadi",
Citrasena,,A King,Human,"Dhrtarastra,Duryodhana,Drona,Krpa",
Narada,,A Seer,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Draupadi",
Sunda,,A Demon,Demon,"Upasunda,Brahma",
Upasunda,,A Demon,Demon,Brahma,
Visvakarman,,A Seer,Human,"Brahma,Tilottama",
Shiva,,Supreme God,God,"Brahma,Indra,Tilottama",
Tilottama,,An Apsares,Apsaras,"Indra,Brahma,Sunda,Upasunda",
Ulupi,,Daughter of the King of Serpents,Human,Arjuna,
Citravahana,,A King,Human,"Arjuna,Citran",
Citran,,Daughter of Citravahana,Human,Arjuna,
Babhruvahana,,Arjuna's Son,Human,"Arjuna,Citran,Citravahana",
Krsna,,A Prince,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Balarama,Subhadra,Indra",
Balarama,,Krsna's Brother,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Subhadra",
Subhadra,,Krsna's Sister,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Draupadi",
Abhimanyu,,Arjuna's Son,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Draupadi,Subhadra,Kunti,Krsna,Balarama",
Prativindhya,,Son of Yudhistra,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Draupadi,Kunti,Abhimanyu",
Sutasoma,,Son of Bhima,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Draupadi,Kunti,Abhimanyu,Prativindhya",
Srutakarman,,Son of Arjuna,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Draupadi,Kunti,Abhimanyu,Prativindhya,Sutasoma",
Satanika,,Son of Nakula,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Draupadi,Kunti,Abhimanyu,Prativindhya,Sutasoma,Srutakarman",
Srutasena,,Son of Sahadeva,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Draupadi,Kunti,Abhimanyu,Prativindhya,Sutasoma,Srutakarman,Satanika",
Varuna,,God of Water,God,"Agni,Arjuna,Krsna",
Asvasena,,Taksaka's Son,Animal,Taksaka,Arjuna
Maya,,A Demon,Demon,Arjuna,
Janamejaya,,,,Vaisampayana,
Maya,,,,"Arjuna,Krsna,Bhima,Yudhistra",
Yudhistra,,,,"Bhima,Arjuna,Nakula,Sahadeva,Krsna,Kunti,Draupadi",
Bhima,,,,"Arjuna,Nakula,Sahadeva,Krsna,Kunti,Draupadi",
Arjuna,,,,"Nakula,Sahadeva,Krsna,Kunti,Draupadi,Subhadra,Jarasamdha",
Nakula,,,,"Sahadeva,Krsna,Kunti,Draupadi",
Sahadeva,,,,"Krsna,Kunti,Draupadi",
Krsna,,,,"Kunti,Subhadra,Draupadi,Dhaumya,Draupadi",
Subhadra,,,,,
Kunti,,,,,
Dhaumya,,,,,
Draupadi,,,,,
Vrsaparvan,,,,Maya,
Narada,,,,Yudhistra,
Hariscandra,,A King,Human,Indra,
Indra,,,,,
Kubera,,God of Wealth,God,"Shiva,Uma",
Surya,,,,Narada,
Jarasamdha,,A King,Human,"Sisupla,Vakra,Hamsa,Dibhaka,Dantavakra,Karusa,Kalabha,Meghavahana,Vasudeva,Bhismaka,Krsna",Bhima
Sisupla,,A King,Human,"Vakra,Hamsa,Dibhaka,Dantavakra,Karusa,Kalabha,Meghavahana,Vasudeva,Bhismaka,Bhima",Krsna
Vakra,,A Lord,Human,"Hamsa,Dibhaka,Dantavakra,Karusa,Kalabha,Meghavahana,Vasudeva,Bhismaka",
Hamsa,,A King,Human,"Dibhaka,Dantavakra,Karusa,Kalabha,Meghavahana,Vasudeva,Bhismaka",
Dibhaka,,A King,Human,"Dantavakra,Karusa,Kalabha,Meghavahana,Vasudeva,Bhismaka",
Dantavakra,,A King,Human,"Karusa,Kalabha,Meghavahana,Vasudeva,Bhismaka",
Karusa,,A King,Human,"Kalabha,Meghavahana,Vasudeva,Bhismaka",
Kalabha,,A King,Human,"Meghavahana,Vasudeva,Bhismaka",
Meghavahana,,A King,Human,"Vasudeva,Bhismaka",
Vasudeva,,A King,Human,Bhismaka,
Bhismaka,,A King,Human,,
Ahrti,,Bhismaka's Brother,Human,Bhismaka,
Bhagadatta,,A King,Human,"Jarasamdha,Kuntibhoja",Arjuna
Kuntibhoja,,A King,Human,"Jarasamdha,Kunti,Sahadeva",
Kamsa,,A King,Human,"Asti,Prapti","Krsna,Balarama"
Asti,,Jarasamdha's daughter,Human,"Prapti,Jarasamdha",
Prapti,,Jarasamdha's daughter,Human,Jarasamdha,
Sunaman,,Kamsa's Brother,Human,Kamsa,"Krsna,Balarama"
Balarama,,,,"Ahuka,Carudesna,Pradyumna,Cakradeva,Satyaki,Krtavarman,Anadhrsti,Samika,Samitimjaya,Kahva,Sanku,Nidanta",
Ahuka,,Vrsni warrior,Human,"Krsna,Carudesna,Pradyumna,Cakradeva,Satyaki,Krtavarman,Anadhrsti,Samika,Samitimjaya,Kahva,Sanku,Nidanta",
Carudesna,,Krsna's Son,Human,"Krsna,Pradyumna,Cakradeva,Satyaki,Krtavarman,Anadhrsti,Samika,Samitimjaya,Kahva,Sanku,Nidanta",
Pradyumna,,Vrsni warrior,Human,"Krsna,Cakradeva,Satyaki,Krtavarman,Anadhrsti,Samika,Samitimjaya,Kahva,Sanku,Nidanta",
Cakradeva,,Vrsni warrior,Human,"Krsna,Satyaki,Krtavarman,Anadhrsti,Samika,Samitimjaya,Kahva,Sanku,Nidanta",
Satyaki,,Vrsni warrior,Human,"Krsna,Krtavarman,Anadhrsti,Samika,Samitimjaya,Kahva,Sanku,Nidanta",
Krtavarman,,Vrsni warrior,Human,"Krsna,Anadhrsti,Samika,Samitimjaya,Kahva,Sanku,Nidanta",
Anadhrsti,,Vrsni warrior,Human,"Krsna,Samika,Samitimjaya,Kahva,Sanku,Nidanta",
Samika,,Vrsni warrior,Human,"Krsna,Samitimjaya,Kahva,Sanku,Nidanta",
Samitimjaya,,Vrsni warrior,Human,"Krsna,Kahva,Sanku,Nidanta",
Kahva,,Vrsni warrior,Human,"Krsna,Sanku,Nidanta",
Sanku,,Vrsni warrior,Human,"Krsna,Nidanta",
Nidanta,,Vrsni warrior,Human,Krsna,
Sudharman,,A King,Human,Bhima,
Indrasena,,Yudhisthira's Charioteer,Human,Yudhistra,
Visoka,,Bhima's Chariotter,Human,Bhima,
Purru,,Arjuna's Charioteer,Human,Arjuna,
Vyasa,,,,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Susaman,Yajnavalkya,Paila,Dhaumya",
Susaman,,A Brahmin,Human,"Yajnavalkya,Paila,Dhaumya",
Yajnavalkya,,A Brahmin,Human,"Paila,Dhaumya",
Paila,,A Brahmin,Human,Dhaumya,
Drona,,,,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma,Draupadi",
Dhrtarastra,,,,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma,Duryodhana,Vidura,Sakuni,Draupadi",
Vidura,,,,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma,Draupadi",
Duryodhana,,,,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma,Vidura,Draupadi",
Subala,,A King,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma,Draupadi",
Sakuni,,,,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma,Duryodhana,Draupadi",
Acala,,A King,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Vrsaka,,A King,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Karna,,,,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma,Dhrtarastra,Duryodhana,Drona,Krpa,Asvatthaman,Draupadi",
Rta,,A King,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Bahlika,,A King,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Somadatta,,A King,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Bhuri,,A King,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Bhurisravas,,A King,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Sala,,Brother of Bhurivas,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Asvatthaman,,,,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma,Drona,Draupadi",
Krpa,,,,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma,Dhrtarastra,Duryodhana,Drona,Asvatthaman,Draupadi",
Jayadratha,,,,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Drupada,,,,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Dhrstadyumna,,,,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma,Virata",
Salva,,,Demon,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Brhadbala,,A King,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Akarsa,,A King,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Kuntala,,A King,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Andhras,,A King,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Suhma,,A King,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Virata,,A King,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Macella,,A King,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Aniruddha,,A King,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Babhru,,A King,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Sarana,,A King,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Gada,,A King,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Samba,,Krsna's Son,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Ulmuka,,A King,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma",
Vivimsati,,Duryodhana's Brother,Human,"Dhrtarastra,Duryodhana,Bhisma,Drona,Krpa,Asvatthaman",
Bhisma,,,,Draupadi,
Rukmini,,Krsna's Wife,Human,"Krsna,Sisupla",
Dhamaghosa,,Sisuplas' Father,Human,Sisupla,
Daruka,,Krsna's Charioteer,Human,Krsna,
Gandhari,,,,"Dhrtarastra,Drona,Bhisma,Karna,Krpa,Asvatthaman,Yudhistra",
Duryodhana's Page,,,Human,"Duryodhana,Draupadi",
Duhsasana,,Duryodhana's Brother,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma,Dhrtarastra,Duryodhana,Drona,Krpa,Asvatthaman,Vikarna,Draupadi,Karna",
Vikarna,,,,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Bhisma,Dhrtarastra,Duryodhana,Drona,Krpa,Asvatthaman,Draupadi,Karna,Vidura",
Janamejaya,,,,Vaisampayana,
Yudhistra,,,,"Bhima,Arjuna,Nakula,Sahadeva,Draupadi,Dhaumya,Krsna",
Bhima,,,,"Arjuna,Nakula,Sahadeva,Draupadi,Dhaumya,Krsna",
Arjuna,,,,"Nakula,Sahadeva,Draupadi,Dhaumya,Krsna",
Nakula,,,,"Sahadeva,Draupadi,Dhaumya,Krsna",
Sahadeva,,,,"Draupadi,Dhaumya,Krsna",
Draupadi,,,,Dhaumya,
Dhaumya,,,,,
Dhrtarastra,,,,Vidura,
Vidura,,,,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Draupadi,Dhaumya",
Samjaya,,Dhrtarastra's Aide,Human,"Dhrtarastra,Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Draupadi,Vidura",
Duryodhana,,,,"Sakuni,Duhsasana,Karna,Krsna",
Sakuni,,,,"Duhsasana,Karna,Krsna",
Duhsasana,,,,"Karna,Krsna",
Karna,,,,Krsna,
Krsna,,,,"Dhrtarastra,Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Draupadi",
Indra,,,,"Arjuna,Nala,Damayanti,Yudhistra",
Surabhi,,A Cow,Animal,Indra,
Maitreya,,A Seer,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Duryodhana,Dhrtarastra",
Kirmira,,A Demon,Demon,"Yudhistra,Arjuna,Nakula,Sahadeva,Sahadeva",Bhima
Dhrstadyumna,,,,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Sikhandin,Krsna,Draupadi",
Sikhandin,,,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Draupadi",
Salva,,,,,Krsna
Samba,,,,,
Ksemavrddhi,,Salva's General,Demon,Salva,Samba
Vegavat,,Salva's General,Demon,Salva,Samba
Carudesna,,,,,
Vivindhya,,Salva's General,Demon,Salva,Carudesna
Pradyumna,,,,"Salva,Daruki",
Daruki,,Pradyumna's Charioteer,Human,Pradyumna,
Markandeya,,A Seer,Human,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Krsna,Draupadi",
Dalbhya,,A Brahmin,Human,Yudhistra,
Muka,,A Demon,Human,,"Arjuna,Shiva"
Shiva,,,,Arjuna,
Matali,,Indra's Charioteer,Human,"Indra,Arjuna,Rama",
Citrasena,,,,Arjuna,"Karna,Duryodhana"
Lomasa,,A Seer,Human,"Indra,Yudhistra,Bhima,Arjuna,Nakula,Sahadeva",
Brhadasva,,A Seer,Human,"Yudhistra,Nala",
Nala,,A King,Human,,
Bhima of Vidarbha,,A King,Human,Nala,
Damana,,A Seer,Human,Bhima of Vidarbha,
Damayanti,,Bhima of Vidarbhas Daughter,Human,"Bhima of Vidarbha,Nala",
Parvata,,A Seer,Human,"Indra,Narada",
Narada,,,,"Indra,Yudhistra,Bhima,Nakula,Sahadeva,Draupadi",
Varuna,,,,"Indra,Agni,Nala,Damayanti",
Agni,,,,"Indra,Nala,Damayanti",
Dvapara,,Evil Being,God,Indra,
Kali,,Evil Being,God,"Indra,Dvapara",Nala
Puskara,,Nala's Brother,Human,Nala,
Varsneya,,Nala's Charioteer,Human,"Nala,Damayanti",
Karkotaka,,A Serpent,Animal,Nala,
Rtuparna,,A King,Human,Nala,
Sudeva,,A Seer,Human,"Bhima of Vidarbha,Damayanti",
Kesini,,A Maid,Human,"Damayanti,Nala",
Ilvala,,A Demon,Demon,Vatapi,
Vatapi,,Ilvala's Brother,Demon,,
Agastya,,,Human,"Lopamudra,Ilvala,Indra",
Lopamudra,,Agastya's Wife,Human,,
Srutarvan,,A King,Human,"Agastya,Ilvala",
Vadhryasva,,A King,Human,"Agastya,Srutarvan,Ilvala",
Trasadasyu,,A King,Human,"Agastya,Srutarvan,Vadhryasva,Ilvala",
Drdhasyu,,Agastya's Son,Human,"Agastya,Lopamudra",
Vibhandaka,,A Brahmin,Human,Rsyasrnga,
Rsyasrnga,,Vibhandaka's Son,Human,,
Urvasi,,,,Vibhandaka,
Lomapada,,A King,Human,Rsyasrnga,
Santa,,Lomapada's Daughter,Human,"Rsyasrnga,Lomapada",
Akrtavrana,,An Ascetic,Human,Yudhistra,
Bhgru,,,,Satyavati,
Jamadagni,,,,"Satyavati,Bhgru",
Renuka,,Jamadagni's Wife,Human,Jamadagni,
Prasenajit,,Father of Renuka,Human,Renuka,
Citraratha,,A King,Human,Renuka,
Rama,,,,"Renuka,Jamadagni,Yudhistra,Hanuman,Brahma",
Kartavirya,,A King,Human,,Rama
