Character,Alternate Names,Role,Faction,Friends,enimies
Bhima,,,,"Arjuna,Nakula,Sahadeva,Satyaki,Srutakarman,Prativindhya,Dhrstadyumna,Yuyutsu,Satanika,Sutasoma,Sikhandin,Ugradhanvan",
Arjuna,,,,"Nakula,Sahadeva,Satyaki,Srutakarman,Prativindhya,Dhrstadyumna,Yuyutsu,Satanika,Sutasoma,Sikhandin,Ugradhanvan",
Nakula,,,,"Sahadeva,Satyaki,Srutakarman,Prativindhya,Dhrstadyumna,Yuyutsu,Satanika,Sutasoma,Sikhandin,Ugradhanvan",
Sahadeva,,,,"Satyaki,Srutakarman,Prativindhya,Dhrstadyumna,Yuyutsu,Satanika,Sutasoma,Sikhandin,Ugradhanvan",
Satyaki,,,,"Srutakarman,Prativindhya,Dhrstadyumna,Yuyutsu,Satanika,Sutasoma,Sikhandin,Ugradhanvan",
Srutakarman,,,,"Prativindhya,Dhrstadyumna,Yuyutsu,Satanika,Sutasoma,Sikhandin,Ugradhanvan",
Prativindhya,,,,"Dhrstadyumna,Yuyutsu,Satanika,Sutasoma,Sikhandin,Ugradhanvan",
Dhrstadyumna,,,,"Yuyutsu,Satanika,Sutasoma,Sikhandin,Ugradhanvan",
Yuyutsu,,,,"Satanika,Sutasoma,Sikhandin,Ugradhanvan",
Satanika,,,,"Sutasoma,Sikhandin,Ugradhanvan",
Sutasoma,,,,"Sikhandin,Ugradhanvan",
Sikhandin,,,,Ugradhanvan,
Tarakaksa,,A Demon,Demon,"Kamalaska,Vidyunmalin,Brahma,Hari",
Kamalaska,,A Demon,Demon,"Vidyunmalin,Brahma,Hari",
Vidyunmalin,,A Demon,Demon,"Brahma,Hari",
Brahma,,,,Shiva,
Hari,,Tarakaksa's Son,Demon,,
Shiva,,,,,"Bhima,Nakula,Satyaki"
Susena,,Karna's Son,Human,"Karna,Satyasena,Vrsasena","Bhima,Nakula,Satyaki"
Satyasena,,Karna's Son,Human,"Karna,Vrsasena","Bhima,Nakula,Satyaki,Arjuna"
Vrsasena,,,,Karna,
Susarman,,,,,Arjuna
Ugradhanvan,,A King,Human,,
Book 9,,,,,
Samjaya,,,,Dhrtarastra,
Dhrtarastra,,,,Krsna,
Duryodhana,,,,"Krpa,Asvatthaman,Salya,Citrasena,Krtavarman,Sakuni,Salva,Srutarvan,Uluka,Samjaya,Balarama,Krsna","Nakula,Sahadeva,Dhrstadyumna,Bhima,Satyaki,Yudhistra,Arjuna"
Krpa,,,,"Asvatthaman,Salya,Citrasena,Krtavarman,Sakuni,Salva,Srutarvan,Uluka,Samjaya","Sikhandin,Yudhistra,Dhrstadyumna,Bhima,Sikhandin,Arjuna,Sahadeva"
Asvatthaman,,,,"Salya,Citrasena,Krtavarman,Sakuni,Salva,Srutarvan,Uluka","Arjuna,Yudhistra,Sikhandin,Bhima,Sahadeva"
Salya,,,,"Citrasena,Krtavarman,Sakuni,Salva,Srutarvan,Uluka","Dhrstadyumna,Sikhandin,Yudhistra,Bhima,Satyaki,Arjuna,Sikhandin"
Citrasena,,,,"Krtavarman,Sakuni,Salva,Srutarvan,Uluka",Nakula
Krtavarman,,,,"Sakuni,Salva,Srutarvan,Uluka,Samjaya","Bhima,Yudhistra,Sikhandin,Satyaki,Arjuna,Sahadeva"
Sakuni,,,,"Salva,Srutarvan,Uluka","Sahadeva,Arjuna,Sahadeva"
Salva,,,,"Srutarvan,Uluka","Bhima,Dhrstadyumna,Sikhandin,Satyaki"
Srutarvan,,,,Uluka,Bhima
Uluka,,,,,"Bhima,Arjuna,Sahadeva"
Krsna,,,,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Balarama",
Yudhistra,,,,"Bhima,Arjuna,Nakula,Sahadeva,Dhrstadyumna,Sikhandin,Satyaki,Balarama",
Bhima,,,,"Arjuna,Nakula,Sahadeva,Dhrstadyumna,Sikhandin,Satyaki,Balarama",
Arjuna,,,,"Nakula,Sahadeva,Dhrstadyumna,Sikhandin,Satyaki,Balarama",
Nakula,,,,"Sahadeva,Dhrstadyumna,Sikhandin,Satyaki,Balarama",
Sahadeva,,,,"Dhrstadyumna,Sikhandin,Satyaki,Balarama",
Dhrstadyumna,,,,"Sikhandin,Satyaki",
Sikhandin,,,,Satyaki,
Satyaki,,,,,
Vyasa,,,,Satyaki,
Yuyutsu,,,,Yudhistra,
Balarama,,,,,
Janamejaya,,,,Vaisampayana,
Gandhari,,,,Krsna,
Samjaya,,,,Dhrtarastra,
Dhrtarastra,,,,,
Duryodhana,,,,"Krpa,Krtavarman,Asvatthaman",
Krpa,,,,"Krtavarman,Asvatthaman",
Krtavarman,,,,Asvatthaman,
Asvatthaman,,,,,"Dhrstadyumna,Uttumaujas,Yudhamanyu,Prativindhya,Sutasoma,Satanika,Srutakarman,Sikhandin,Srutasena"
Dhrstadyumna,,,,,
Uttumaujas,,A King,Human,Yudhamanyu,
Yudhamanyu,,A King,Human,,
Prativindhya,,,,,
Sutasoma,,,,,
Satanika,,,,,
Srutakarman,,,,,
Srutasena,,,,,
Duryodhana,,,,,
Janamejaya,,,,Vaisampayana,
Yudhistra,,,,"Bhima,Arjuna,Nakula,Sahadeva,Draupadi,Krsna,Asvatthaman",
Bhima,,,,"Arjuna,Nakula,Sahadeva,Draupadi,Krsna,Asvatthaman",
Arjuna,,,,"Nakula,Sahadeva,Draupadi,Krsna,Asvatthaman",
Nakula,,,,"Sahadeva,Draupadi,Krsna,Asvatthaman",
Sahadeva,,,,"Draupadi,Krsna,Asvatthaman",
Draupadi,,,,Krsna,
Krsna,,,,Asvatthaman,
Vyasa,,,,Asvatthaman,
Janamejaya,,,,Vaisampayana,
Samjaya,,,,"Dhrtarastra,Vidura,Vyasa,Yudhistra",
Dhrtarastra,,,,"Vidura,Vyasa,Gandhari,Krpa,Krtavarman,Asvatthaman",
Vidura,,,,Vyasa,
Vyasa,,,,Gandhari,
Gandhari,,,,"Krpa,Krtavarman,Asvatthaman,Kunti",
Krpa,,,,"Krtavarman,Asvatthaman",
Krtavarman,,,,Asvatthaman,
Asvatthaman,,,,,
Yudhistra,,,,"Bhima,Arjuna,Nakula,Sahadeva,Krsna,Satyaki,Yuyutsu,Draupadi,Dhrtarastra,Gandhari,Kunti",
Bhima,,,,"Arjuna,Nakula,Sahadeva,Krsna,Satyaki,Yuyutsu,Draupadi,Dhrtarastra,Gandhari,Kunti",
Arjuna,,,,"Nakula,Sahadeva,Krsna,Satyaki,Yuyutsu,Draupadi,Dhrtarastra,Gandhari,Kunti",
Nakula,,,,"Sahadeva,Krsna,Satyaki,Yuyutsu,Draupadi,Dhrtarastra,Gandhari,Kunti",
Sahadeva,,,,"Krsna,Satyaki,Yuyutsu,Draupadi,Dhrtarastra,Gandhari,Kunti",
Krsna,,,,"Satyaki,Yuyutsu,Draupadi,Dhrtarastra,Gandhari",
Satyaki,,,,"Yuyutsu,Draupadi",
Yuyutsu,,,,Draupadi,
Draupadi,,,,"Kunti,Gandhari",
Kunti,,,,,
Sudharman,,,,Yudhistra,
Dhaumya,,,,Yudhistra,
Indrasena,,,,Yudhistra,
Yudhistra,,,,"Bhima,Arjuna,Nakula,Sahadeva,Narada,Draupadi,Devasthana,Vyasa,Kunti,Dhrtarastra,Dhaumya,Vidura,Samjaya",Carvaka
Bhima,,,,"Arjuna,Nakula,Sahadeva,Kunti,Draupadi,Devasthana,Narada,Vyasa",
Arjuna,,,,"Nakula,Sahadeva,Kunti,Draupadi,Devasthana,Narada,Vyasa",
Nakula,,,,"Sahadeva,Kunti,Draupadi,Devasthana,Narada,Vyasa",
Sahadeva,,,,"Kunti,Draupadi,Devasthana,Narada,Vyasa",
Narada,,,,"Devasthana,Vyasa",
Kunti,,,,"Draupadi,Devasthana,Vyasa",
Draupadi,,,,"Devasthana,Narada,Vyasa,Dhrtarastra,Dhaumya",
Devasthana,,A Seer,Human,,
Vyasa,,,,Shiva,
Sankha(Brahmin),,A Brahmin,Human,"Likhita,Sudyumna",
Likhita,,A Brahmin,Human,Sudyumna,
Sudyumna,,A King,Human,,
Asman,,A Brahmin,Human,Janaka,
Janaka,,,,Vasistha,
Rama,,,,Karna,
Karna,,,,,
Srnjaya,,A King,Human,Narada,
Krsna,,,,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Draupadi,Kunti",
Parvata,,,,"Narada,Srnjaya",
Suvarnasthivin,,Srnjaya's Son,Human,"Narada,Srnjaya,Parvata",Indra
Indra,,,,,
Carvaka,,A Demon,Demon,,
Dhrtarastra,,,,,
Dhaumya,,,,,
Vidura,,,,,
Samjaya,,,,,
Janamejaya,,,,Vaisampayana,
Bhisma,,,,"Krsna,Satyaki,Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Narada,Krpa,Yuyutsu,Samjaya",
Satyaki,,,,"Yudhistra,Bhima,Arjuna,Nakula,Sahadeva,Narada,Krpa,Yuyutsu,Samjaya,Krsna",
Krpa,,,,"Bhima,Arjuna,Nakula,Sahadeva,Narada,Yuyutsu,Samjaya,Krsna",
Yuyutsu,,,,"Bhima,Arjuna,Nakula,Sahadeva,Narada,Samjaya,Krsna",
Samjaya,,,,"Bhima,Arjuna,Nakula,Sahadeva,Narada,Krsna",
Brahma,,,,Visnu,
Visnu,,,,,
Virajas,,Created by Visnu,Human,Visnu,
Ananga,,Virajas' Grandson,Human,Virajas,
Atibala,,Ananga's son,Human,Ananga,
Vena,,Atibala's Grandson,Human,Atibala,
Mandhatr,,A King,Human,Visnu,
Vasumanas,,,,Brhaspati,
Brhaspati,,,,,
Pururavas,,,,Kasyapa,
Kasyapa,,,,,
Mucukunda,,A King,Human,Vasistha,Kubera
Kubera,,,,,
Vasistha,,,,Brahma,
Kalakavrksiya,,A Seer,Human,Ksemadarsin,
Ksemadarsin,,A King,Human,,
Indra,,,,"Brhaspati,Kasyapa",
Utathya,,A Seer,Human,Mandhatr,
Vamadeva,,A Seer,Human,Vasumanas,
Ambarisa,,A King,Human,"Indra,Sudeva(General)",
Sudeva(General),,Ambarisa's General,Human,,
Vasuhoma,,A King,Human,Mandhatr,
Kamanda,,A Seer,Human,Angaristha,
Angaristha,,A King,Human,,
Duryodhana,,,,Dhrtarastra,
Prahradha,,A Demon,Demon,Indra,
Sumitra(King),,A King,Human,Rsabha,
Rsabha,,A Seer,Human,"Tanu,Viradyumna,Dharma",
Tanu,,An Ascetic,Human,"Viradyumna,Dharma",
Viradyumna,,A King,Human,Dharma,
Dharma,,,,,
Gautama,,A Seer,Human,Yama,
Yama,,,,,
Brahmadatta,,A King,Human,Pujani,
Pujani,,A Bird,Animal,,
Kaninka,,A King,Human,Satrumtapa,
Satrumtapa,,A King,Human,,
Visvamitra,,,,Indra,
Rajadharman,,A Crane,Animal,Virupaska,Gautama
Virupaska,,A Demon,Demon,,Gautama
Prahrada,,,,"Ajagara,Indra",
Ajagara,,A Seer,Human,,
Bhgru,,,,Bharadvaja,
Bharadvaja,,,,,
Madhu,,,,,Visnu
Pancasikha,,A Seer,Human,Janaka,
Bali,,Prahrada's grandson,Human,"Indra,Prahrada",
Sri,,,,"Indra,Bali",
Namuci,,A Demon,Demon,Indra,
Ugrasena,,A King,Human,Krsna,
Suka,,Vyasa's Son,Human,"Vyasa,Brhaspati,Janaka,Narada",
Avikampa,,A King,Human,"Narada,Vyasa",
Shiva,,,,Brahma,
Death,,A Godess,God,Brahma,
Tuladhara,,A Merchant,Human,Jajali,
Jajali,,A Brahmin,Human,,
Cirakarin,,Gautama's Son,Human,Gautama,
Dyumatsena,,,,Satyavat,
Satyavat,,,,,
Kapila,,An Ascetic,Human,Syumarasmi,
Syumarasmi,,A Seer,Human,,
Satya,,A Brahmin,Human,"Dharma,Savitri",
Vrtra,,,,"Sukra,Sanatkumara",Indra
Sukra,,,,"Sanatkumara,Shiva,Kubera",
Sanatkumara,,A Demon,Demon,,
Agni,,,,Brahma,
Uma,,Shiva's Wife,God,Shiva,
Samanga,,A Seer,Human,Narada,
Galava,,,,Narada,
Aristanemi,,A Seer,Human,Sagara,
Sagara,,A Seer,Human,,
Ghrtaci,,,,Vyasa,
Skanda,,,,Visnu,
Vasu Uparicara (King),,,,Brhaspati,
Ekata,,Brahma's Son,Human,"Dvita,Trita,Vasu Uparicara (King)",
Dvita,,Brahma's Son,Human,"Trita,Vasu Uparicara (King)",
Trita,,Brahma's Son,Human,Vasu Uparicara (King),
Garuda,,,,Vasu Uparicara (King),
Yudhistra,,,,"Bhima,Arjuna,Nakula,Sahadeva,Narada,Bhisma",
Bhima,,,,"Arjuna,Nakula,Sahadeva,Narada",
Arjuna,,,,"Nakula,Sahadeva,Narada",
Nakula,,,,"Sahadeva,Narada",
Sahadeva,,,,Narada,
Narada,,,,"Bhisma,Krsna",
Bhisma,,,,Krsna,
Gautami,,A Brahmin woman,Human,Death,
Death,,,,,
Sudarsana,,Agni's Son,Human,"Agni,Oghavati,Dharma",
Agni,,,,,
Oghavati,,Sudarsana's Wife,Human,Dharma,
Dharma,,,,,
Vasistha,,,,Brahma,
Brahma,,,,,
Rukmini,,,,Sri,
